KCCDistrict,Town,Village,StreetName,Avg_Reform_Prob,Success_Category,ElectorCount,Latitude,Longitude
Tenterden,Tenterden,,Haffenden Road,0.17779474,Poor,56,51.075204,0.689609
Tenterden,Ashford,High Halden,Halden Close,0.17299466,Poor,49,51.102705,0.699023
Tenterden,Cranbrook,Rolvenden,Halden Field,0.20429365,Poor,70,51.056161,0.631936
Tenterden,Cranbrook,Rolvenden,Halden Lane,0.50434095,Good,15,51.062232,0.635647
Tenterden,Tenterden,,Hales Close,0.16731267,Poor,32,51.070542,0.693636
Tenterden,Ashford,High Halden,Harbourne Lane,0.23497346,Poor,54,51.095103,0.708104
Tenterden,Ashford,Biddenden,Hareplain Road,0.2384642,Poor,28,51.125267,0.615037
Tenterden,Ashford,High Halden,Harris Lane,0.29339793,Poor,25,51.114966,0.70441
Tenterden,Cranbrook,Rolvenden,Hastings Road,0.1864509,Poor,74,51.050445,0.629484
Tenterden,Ashford,Appledore,Hawthorn,0.14583139,Poor,46,51.035714,0.78876
Tenterden,Ashford,Biddenden,Headcorn Road,0.29641876,Poor,138,51.158,0.666964
Tenterden,Ashford,Appledore,Heath Road,0.20698023,Poor,79,51.040669,0.784664
Tenterden,Tenterden,St Michaels,Heather Drive,0.33139798,Moderate,69,51.085909,0.693429
Tenterden,Ashford,Appledore,Heathside,0.23942147,Poor,72,51.040347,0.7857
Tenterden,Tenterden,St Michaels,Henley Fields,0.16280328,Poor,94,51.080147,0.69248
Tenterden,Tenterden,St Michaels,Henley Meadows,0.43552837,Good,184,51.081533,0.689748
Tenterden,Ashford,High Halden,High Halden Lane,0.19166905,Poor,6,51.108204,0.682456
Tenterden,Ashford,Biddenden,High Halden Road,0.30092585,Moderate,74,51.111338,0.680791
Tenterden,Cranbrook,Rolvenden,High Street,0.2829253,Poor,321,51.052639,0.630279
Tenterden,Tenterden,,Highbury Lane,0.33570373,Moderate,7,51.067013,0.685854
Tenterden,Tenterden,,Holdstock Road,0.46740758,Good,35,51.064645,0.688729
Tenterden,Tenterden,,Homewood Road,0.41250575,Good,62,51.07634,0.696514
Tenterden,Ashford,High Halden,Hookstead,0.19867674,Poor,90,51.104991,0.700996
Tenterden,Ashford,High Halden,Hopes Grove,0.3446651,Moderate,106,51.104567,0.7061
Tenterden,Tenterden,,Hurst Close,0.18214351,Poor,31,51.066999,0.675587
Tenterden,Tenterden,,Ingleden Park Road,0.25460082,Poor,72,51.078095,0.698815
Tenterden,Tenterden,,Jacksons Lane,0.2727533,Poor,4,51.06745,0.687578
Tenterden,Tenterden,St Michaels,Jarvis Place,0.19943203,Poor,37,51.083822,0.693436
Tenterden,Tenterden,Wittersham,Jubilee Field,0.24464469,Poor,58,51.015784,0.709114
Tenterden,Tenterden,,Kiln Field,0.5151632,Good,26,51.067772,0.697515
Tenterden,Tenterden,Wittersham,Kingsgate Lane,0.20407481,Poor,9,51.026292,0.701366
Tenterden,Tenterden,,Knockwood Road,0.36153063,Moderate,58,51.074984,0.699547
Tenterden,Tenterden,,Lawn Close,0.2932169,Poor,14,51.066603,0.675592
Tenterden,Tenterden,St Michaels,Leslie Crescent,0.28680485,Poor,83,51.081088,0.692249
Tenterden,Tenterden,,Limes Close,0.31919706,Moderate,11,51.069715,0.701025
Tenterden,Tenterden,St Michaels,Little Mead,0.19166905,Poor,3,51.104074,0.680256
Tenterden,Ashford,High Halden,Little Robhurst,0.23487991,Poor,44,51.105294,0.712771
Tenterden,Tenterden,Wittersham,Lloyds Green,0.23780897,Poor,54,51.017806,0.704637
Tenterden,Tenterden,,Longfield,0.37015095,Moderate,52,51.065499,0.684935
Tenterden,Cranbrook,Newenden,Lossenham Lane,0.23955263,Poor,99,51.016004,0.616341
Tenterden,Ashford,Appledore,Magpie Farm,0.1447979,Poor,8,51.034664,0.786349
Tenterden,Ashford,Biddenden,Maids Close,0.26146805,Poor,14,51.117815,0.636797
Tenterden,Tenterden,,Malthouse Lane,0.22591673,Poor,4,51.066613,0.684489
Tenterden,Ashford,Biddenden,Mansion House Close,0.4000154,Good,53,51.117953,0.64189
Tenterden,Ashford,Appledore,Maple Place,0.16663322,Poor,10,51.028616,0.788767
Tenterden,Tenterden,St Michaels,Marshalls Land,0.20427305,Poor,49,51.085625,0.688957
Tenterden,Ashford,High Halden,Marten Lane,0.30490822,Moderate,17,51.107483,0.741503
Tenterden,Tenterden,,Martins Close,0.25194326,Poor,13,51.073351,0.697011
Tenterden,Tenterden,,Mayors Place,0.32888085,Moderate,10,51.066588,0.683699
Tenterden,Cranbrook,Rolvenden Layne,Maytham Road,0.20863603,Poor,156,51.04621,0.636207
Tenterden,Tenterden,,Mercer Drive,0.36952794,Moderate,54,51.066005,0.692904
Tenterden,Ashford,High Halden,Middle Quarter,0.26329845,Poor,28,51.111696,0.710132
Tenterden,Tenterden,,Mill Lane,0.253518,Poor,6,51.076047,0.695073
Tenterden,Tenterden,,Mill Pond Lane,0.2526434,Poor,14,51.083875,0.658125
Tenterden,Ashford,High Halden,Millfield,0.18749864,Poor,35,51.103204,0.707449
Tenterden,Cranbrook,Benenden,Mockbeggar Lane,0.1968931,Poor,19,51.089621,0.617967
Tenterden,Cranbrook,Rolvenden,Monypenny,0.31636113,Moderate,30,51.05008,0.633273
Tenterden,Tenterden,Wittersham,Moons Green,0.3599884,Moderate,42,51.016602,0.685873
Tenterden,Ashford,Appledore,Moor Lane,0.2421601,Poor,7,51.046503,0.7768
Tenterden,Tenterden,,Mount Pleasant,0.3648253,Moderate,9,51.073247,0.697647
Tenterden,Cranbrook,Rolvenden,Mounts Lane,0.42805713,Good,40,51.050671,0.650886
Tenterden,Tenterden,,Mulberry Gardens,0.15950076,Poor,4,51.071472,0.689564
Tenterden,Ashford,Biddenden,North Street,0.3294017,Moderate,105,51.116866,0.6435
Tenterden,Tenterden,St Michaels,Nortons Lane,0.25258082,Poor,8,51.096752,0.676762
Tenterden,Ashford,High Halden,Oak Grove Lane,0.11337043,Poor,18,51.099765,0.690381
Tenterden,Tenterden,,Oaks Road,0.2477397,Poor,80,51.07061,0.69147
Tenterden,Ashford,Biddenden,Old Mill Court,0.31355485,Moderate,16,51.113084,0.642358
Tenterden,Cranbrook,Rolvenden,Old Regent Drive,0.18531686,Poor,2,51.053046,0.628989
Tenterden,Tenterden,,Old Tannery Close,0.2727533,Poor,7,51.06599,0.681566
Tenterden,Ashford,Appledore,Old Way,0.26272064,Poor,12,51.030913,0.790569
Tenterden,Ashford,Smarden,Omenden,0.07608106,Poor,7,51.131059,0.67623
Tenterden,Ashford,Biddenden,Ongley Lane,0.2101979,Poor,31,51.12047,0.62513
Tenterden,Tenterden,St Michaels,Orchard Road,0.2828593,Poor,62,51.08647,0.687807
Tenterden,Tenterden,St Michaels,Ox Lane,0.1799214,Poor,143,51.084635,0.696425
Tenterden,Tenterden,,Parkside Court,0.22989304,Poor,9,51.06579,0.680456
Tenterden,Tenterden,Wittersham,Peening Quarter Road,0.20152178,Poor,41,51.025748,0.690609
Tenterden,Tenterden,,Penderel Mews,0.2666217,Poor,9,51.072298,0.690426
Tenterden,Tenterden,,Pierce Lane,0.29050714,Poor,12,51.065573,0.691366
Tenterden,Tenterden,,Pittlesden,0.24667083,Poor,93,51.068922,0.683121
Tenterden,Cranbrook,Rolvenden,Pixs Lane,0.14351127,Poor,10,51.050709,0.642855
Tenterden,Tenterden,,Plummer Lane,0.22349796,Poor,18,51.063504,0.673747
Tenterden,Ashford,Biddenden,Pook Lane,0.08754506,Poor,30,51.129084,0.654375
Tenterden,Tenterden,St Michaels,Pope Gardens,0.48102695,Good,54,51.090024,0.691972
Tenterden,Tenterden,St Michaels,Pope House Lane,0.18624571,Poor,10,51.089298,0.691555
Tenterden,Tenterden,Wittersham,Poplar Field,0.2205226,Poor,8,51.015996,0.705131
Tenterden,Tenterden,Wittersham,Poplar Road,0.3486056,Moderate,155,51.017057,0.703196
Tenterden,Tenterden,,Preston Hill Lane,0.16182573,Poor,14,51.066977,0.71554
Tenterden,Tenterden,,Preston Lane,0.19694333,Poor,2,51.071863,0.726195
Tenterden,Tenterden,,Priory Way,0.37484393,Moderate,96,51.067428,0.70112
Tenterden,Cranbrook,Rolvenden,Puddingcake Lane,0.33553454,Moderate,21,51.058341,0.654964
Tenterden,Tenterden,,R/O 106 High Street,0.15950076,Poor,1,51.067513,0.683382
Tenterden,,High Halden,Ransley Field,0.239716,Poor,56,51.10551,0.71653
Tenterden,Tenterden,St Michaels,Readers Bridge Road,0.20599267,Poor,12,51.090246,0.673261
Tenterden,Tenterden,,Reading Street,0.30006638,Moderate,31,51.045136,0.737633
Tenterden,Tenterden,,Recreation Ground Road,0.42807448,Good,31,51.065682,0.692115
Tenterden,Cranbrook,Rolvenden,Regent Street,0.3155663,Moderate,22,51.053314,0.628248
Tenterden,Ashford,Biddenden,River Hall Lane,0.31109473,Moderate,20,51.119591,0.662048
Tenterden,Tenterden,,Rogersmead,0.25081375,Poor,105,51.068254,0.681972
Tenterden,Cranbrook,Rolvenden,Rolvenden Hill,0.36416173,Moderate,87,51.061863,0.655108
Tenterden,Tenterden,Wittersham,Rolvenden Road,0.36850205,Moderate,132,51.065853,0.669868
Tenterden,Tenterden,Wittersham,Rose Hill,0.2135596,Poor,2,51.014943,0.727954
Tenterden,Tenterden,,Rother Drive,0.25234726,Poor,76,51.066105,0.703402
